1001	Chip	$0.68	80	1
1002	Chocolate	$1.29	45	1
1003	Candy	$0.99	75	1
1004	Seaweed	$0.70	65	1
1005	Biscuit	$0.34	50	1
1006	Water	$0.28	75	1
1007	Soft-Drink	$0.67	60	1
1008	Coffee	$1.50	40	1
1009	Tea	$1.32	60	1
1010	Juice	$0.60	70	1
1011	Cheese	$5.40	55	2
1012	Milk	$1.80	50	2
1013	Yogurt	$0.75	65	2
1014	Butter	$2.89	50	2
1015	Frozen	$2.00	65	3
1016	Carrot	$1.33	55	3
1017	Strawberry	$4.75	45	3
1018	Pumpkin	$2.52	70	3
1019	Grape	$3.12	65	3
1020	Tomato	$1.20	50	3
1021	Shrimp	$10.54	75	3
1022	Pork	$8.92	55	3
1023	Beef	$14.45	65	3
1024	Fish	$7.84	60	3
1025	Shell	$10.78	55	3
1026	Cake	$11.40	60	4
1027	Bread	$7.89	65	4
1028	Cookie	$2.89	65	4
1029	Croissant	$3.66	65	4
1030	Tarts	$3.20	55	4
1031	Mop	$4.57	55	5
1032	Bin	$2.90	55	5
1033	Broom	$2.69	75	5
1034	Bucket	$3.97	50	5
1035	Vacuum	$21.89	55	5
1036	Cushion	$14.57	65	5
1041	Iron	$19.37	70	5
1037	Lipstick	$21.40	75	6
1038	Powder	$7.15	50	6
1039	Foudation	$27.20	65	6
1040	Contour	$8.20	50	6
1042	Microwave	$50.50	55	6
1043	Drill	$40.79	55	6
1044	Oven	$90.99	55	6
1045	Projector	$30.98	75	6
1046	Pen	$0.51	50	8
1047	Ruler	$0.73	50	8
1048	Paper	$2.88	55	8
1049	Pencil	$0.58	60	8
1050	Rubber	$0.32	65	8
